420 5000 5000 
3839 398 4052 141
4593 4059 4863 3927
3149 2292 3288 1685
1098 2642 1276 2173
1857 486 2150 215
1823 3867 2051 3621
1509 3082 1944 2908
0 1802 184 1603
3843 1148 4175 936
4025 1750 4156 1148
1682 3869 1823 3350
930 3847 1212 3703
1383 1328 1762 1166
3794 4725 3904 3931
3661 3261 3982 3161
184 1802 428 1598
420 811 583 523
1226 3452 1682 3350
684 1316 1055 1149
2150 3243 2347 2824
208 3591 464 3302
3048 5000 3140 4579
3507 1445 3704 1148
1780 2366 1862 2088
1269 4129 1338 4005
1536 1433 1762 1328
3904 4253 4107 3968
3654 3618 4200 3507
4776 3261 5000 2950
0 3327 208 3091
474 3302 630 3187
2865 4208 3030 3665
1009 3350 1177 2877
4534 398 5000 206
491 304 738 0
784 1802 949 1316
1177 3262 1591 3082
930 3703 1027 3350
3288 4760 3468 4375
684 1802 784 1316
2150 982 2284 555
3468 4523 3794 4239
630 3380 930 3187
285 1140 684 1057
534 1057 684 811
721 3847 930 3677
2786 3665 3030 3467
2370 4833 2698 4711
605 4841 864 4575
4087 2320 4223 2161
3288 1346 3507 1148
4557 4862 4811 4588
3661 3161 3982 2964
184 1598 428 1254
3012 3073 3288 2763
4156 1750 4238 1314
0 3463 208 3327
3288 3931 3686 3830
1944 3350 2150 3112
4628 4588 5000 4448
2599 980 2740 510
285 1254 574 1140
864 4841 1003 4575
420 523 610 304
4557 5000 4811 4862
2395 982 2599 555
3288 1962 3505 1750
3468 2841 3661 2647
3288 936 3507 641
930 3350 1009 2877
428 1802 574 1254
2740 701 2974 510
1493 4575 1682 4129
1680 2487 1780 2088
2789 4714 3048 4366
4785 1554 5000 1148
2770 1236 2974 980
605 4575 1083 4406
2150 555 2599 389
1744 215 2150 0
4523 932 5000 861
1591 3350 1944 3281
1697 1802 2150 1622
1499 982 1744 811
4175 1148 4523 960
0 1254 285 1049
1094 695 1562 523
4416 1750 4516 1148
1083 4575 1269 4295
605 5000 1003 4841
2150 272 2599 119
4200 3618 4389 3261
2715 2763 2956 2637
0 1603 184 1254
2561 4176 2698 3665
1246 1802 1374 1328
955 523 1280 297
4319 3079 4641 2791
2974 944 3288 719
1276 2388 1481 2025
2974 719 3288 432
2150 1462 2412 1168
3468 4725 3794 4523
1177 3350 1591 3262
3798 3435 4200 3261
0 4259 208 3847
2284 982 2395 555
1043 2173 1276 2025
2437 1786 2687 1705
2150 4168 2294 3665
0 2845 208 2444
474 3187 777 2880
3288 3261 3468 2821
3111 1462 3288 944
4516 2216 5000 2135
1682 4806 1920 4443
1269 4575 1330 4129
4052 398 4389 141
2698 4714 2789 4366
4319 3261 4776 3079
610 523 955 304
2599 510 2867 349
1682 4443 1920 4080
4593 3927 4863 3667
1212 3847 1682 3703
3468 3261 3661 2841
3982 2920 4319 2695
3904 4451 4107 4253
1481 2487 1680 2088
4244 2161 4334 1750
1862 1972 2150 1802
4107 5000 4297 4727
2353 2382 2956 2292
4297 5000 4557 4727
1570 4129 1682 3847
2568 3243 2715 2824
2347 3243 2568 2824
1338 4129 1570 3847
3288 143 3647 0
144 811 267 304
1055 1166 1498 982
3288 2415 3661 2338
3083 2763 3288 2529
1699 2088 1862 1802
4107 3896 4328 3618
1177 3082 1509 2877
448 4774 605 4259
2867 510 2974 0
3839 141 4358 0
464 3591 630 3302
4840 2695 5000 2216
2556 2292 2687 1899
4516 1433 4785 1148
930 2877 1199 2642
4875 206 5000 0
0 3847 208 3463
3686 3931 3904 3618
2150 1786 2437 1462
1551 5000 1682 4575
4714 2695 4840 2216
2599 1462 2770 980
157 2248 329 1802
3163 432 3288 0
1481 2642 1944 2487
4641 2950 5000 2695
329 2621 625 2510
4087 2161 4244 1750
2687 2292 2779 1705
4287 4727 4557 4588
3661 2320 3791 1750
3982 3051 4319 2920
2150 4668 2370 4542
4175 659 4478 398
4534 206 4875 0
1509 2908 1768 2642
3661 2964 3982 2695
2974 432 3163 0
2715 3243 3012 3109
2698 4208 2865 3665
742 2234 930 1802
1330 4575 1493 4129
0 4587 233 4259
3288 641 3647 430
3661 2695 4057 2600
2779 1998 2918 1462
4389 398 4534 141
4626 745 5000 610
4523 1148 4750 932
2412 1462 2599 1168
3654 3507 3798 3261
4107 4448 4328 4133
2918 2292 3149 2025
4223 2695 4516 2402
3661 2600 4057 2421
4107 4727 4287 4448
1744 866 2150 683
3030 4050 3288 3786
4358 141 4534 0
625 2509 930 2234
2150 2292 2556 2136
253 304 491 0
3647 261 3839 0
625 2621 930 2509
1823 3621 2150 3350
329 2234 742 2112
4750 1148 5000 932
3468 5000 3681 4725
1682 5000 1920 4806
2353 2637 2539 2382
2150 119 2599 0
352 4259 582 3984
2003 1433 2150 1166
4389 3618 4593 3261
1862 2137 2150 1972
684 1149 923 811
2786 3467 3030 3243
3288 5000 3468 4760
2150 5000 2370 4668
3288 2647 3661 2415
3704 1445 4025 1236
1920 4241 2150 4080
1280 523 1522 170
3904 3968 4107 3618
0 811 144 304
2715 3109 3012 3021
1133 5000 1314 4575
3030 4208 3288 4050
1184 170 1398 0
2150 2637 2353 2292
2370 5000 2698 4833
2698 4366 3048 4208
474 2880 669 2621
3696 1148 3843 936
3798 3507 4200 3435
1536 1802 1697 1622
964 4131 1083 3847
2571 2824 2715 2637
157 2444 329 2248
1083 4295 1269 4005
4516 1942 5000 1783
1862 2366 2150 2137
2918 1685 3288 1462
327 3302 474 2911
1944 3112 2150 2848
2294 4014 2561 3665
3048 4579 3288 4208
233 4451 448 4259
4238 1750 4416 1314
923 1149 1055 811
0 1984 157 1802
2956 2763 3083 2292
4175 960 4523 861
208 2621 329 2444
2779 2292 2918 1998
3681 4794 4107 4725
1628 523 1744 170
4863 4059 5000 3667
1314 5000 1430 4575
3681 5000 4107 4794
582 4259 710 3847
4811 5000 5000 4588
710 4131 964 3847
630 3847 721 3380
4175 861 4626 659
1836 1622 2150 1433
1199 2877 1509 2642
4328 4448 4593 4132
574 1802 684 1140
1003 5000 1133 4575
4223 2402 4516 2161
1398 170 1744 0
1481 2088 1699 1802
3704 1236 4025 1148
4482 4132 4593 3618
2740 980 2974 701
4156 1314 4416 1148
4626 861 5000 745
909 811 1094 523
1184 297 1280 170
2437 1705 2779 1462
4516 2447 4714 2216
3288 1148 3696 936
4516 1554 4785 1433
1226 3703 1540 3452
4516 2135 5000 1942
2370 4711 2561 4395
2918 2025 3149 1685
4334 2161 4516 1750
2698 4785 3048 4714
1540 3703 1682 3452
777 3187 930 2880
3030 3554 3288 3243
3012 3243 3288 3073
3140 5000 3288 4579
208 4259 352 3847
1591 3281 1944 3082
233 5000 448 4714
669 2880 930 2621
710 4259 1083 4131
1744 486 1857 215
930 2642 1038 2173
1780 2487 2150 2366
1094 811 1562 695
930 2173 1043 1802
3839 936 4175 686
3661 2421 4057 2320
208 3847 388 3591
285 1057 534 811
2529 3665 2786 3559
1762 1433 2003 1166
2150 2824 2571 2637
2539 2637 2956 2543
448 5000 605 4774
4516 2695 4714 2447
4516 1783 5000 1668
3468 4239 3794 4149
1372 2025 1481 1802
1027 3703 1226 3350
1374 1802 1536 1328
2370 4395 2561 4168
4593 4448 4759 4059
4593 3485 5000 3261
2051 4080 2150 3621
1562 811 1744 523
388 3847 630 3591
208 3302 327 2911
1498 1166 1744 982
0 1049 285 811
3505 2338 3661 1750
1744 683 2150 486
3030 3786 3288 3554
3791 2139 4087 1943
4287 4588 4628 4448
2561 4711 2698 4176
2974 1462 3111 944
3441 3618 3654 3261
0 2444 157 1984
2539 2543 2956 2382
3288 1658 3507 1346
2770 1462 2974 1236
4478 659 4626 398
2150 4542 2370 4168
208 2911 474 2621
605 4406 1083 4259
2380 1899 2687 1786
3507 936 3647 641
2150 389 2599 272
1920 4636 2150 4241
3083 2529 3288 2292
2150 1168 2599 982
329 2510 625 2234
267 811 420 304
2380 2136 2556 1899
3468 4149 3794 3931
1682 4080 1823 3869
3288 4375 3468 3931
3288 3830 3686 3618
2150 2136 2380 1786
3791 1943 4087 1750
3791 2320 4087 2139
4641 3079 4776 2950
1522 523 1628 170
3288 3618 3441 3261
1768 2908 1944 2642
1536 1622 1836 1433
1055 982 1499 811
1744 1166 2150 1002
955 297 1184 0
738 304 955 0
715 811 909 523
3288 430 3417 143
0 304 253 0
2715 3021 3012 2763
721 3677 930 3380
0 4737 233 4587
1823 4080 2051 3867
4107 4133 4328 3896
1083 4005 1338 3847
3288 2821 3468 2647
4328 4132 4482 3618
4626 610 5000 398
3982 3261 4319 3051
2599 349 2867 0
3647 643 3839 261
233 4714 448 4451
949 1802 1055 1316
4319 2791 4641 2695
352 3984 582 3847
3776 1750 4025 1445
4593 3667 5000 3485
1944 2848 2150 2487
1038 2642 1098 2173
0 3091 208 2845
3839 686 4175 487
2150 3665 2529 3437
3904 4725 4107 4451
3839 487 4175 398
3288 1750 3776 1658
3417 430 3647 143
4057 2695 4223 2320
2150 3437 2529 3243
2294 4168 2561 4014
1276 2642 1481 2388
0 5000 233 4737
3647 936 3839 643
1055 1802 1246 1328
3288 2338 3505 1962
2698 5000 3048 4785
2529 3559 2786 3243
329 1908 742 1802
4759 4448 5000 4059
3507 1658 3776 1445
4516 1668 5000 1554
1430 5000 1551 4575
329 2112 742 1908
583 811 715 523
1055 1328 1383 1166
1744 1002 2150 866
1043 2025 1372 1802
1920 5000 2150 4636
3
1
